st_id,name,tm_x,tm_y,group,dist_to_coast_m,active
st1,東芳(1),200779.08,2662059.143,inland,8930.5,1
st2,洛津(1),192049.113,2661159.144,coastal,2296.3,1
st3,線西(1),195891.096,2669760.114,inland,1706.8,1
st4,文昌(1),190949.118,2656044.163,inland,5017.9,1
st5,田中(1),207917.059,2638982.231,inland,28018.3,1
st6,好修(1),194881.104,2655894.164,inland,7512.1,1
st7,崙雅(1),208589.056,2642616.217,inland,26592.5,1
st8,社頭(1),208633.055,2644081.212,inland,25615.6,1
st9,田尾(1),201874.081,2643074.214,inland,20806.7,1
st10,合興(1),194829.107,2643394.211,inland,14445.6,1
st11,漢寶(1),184111.144,2655941.161,coastal,0.0,1
st12,竹塘(1),191777.12,2639617.225,inland,13600.0,1
st13,僑義,197808.098,2637562.234,inland,19705.7,1
st14,過溪,206404.066,2634084.249,inland,28258.4,1
st15,榮光,209761.053,2634600.248,inland,31588.5,1
st16,溫厝(1),200229.093,2617202.313,inland,28766.2,1
st17,虎尾(1),192114.123,2623483.287,inland,18516.9,1
st18,光復(1),189906.131,2626310.275,inland,15007.9,1
st19,拯民,190386.13,2622753.289,inland,17779.2,1
st20,宏崙(1),183509.158,2620469.296,inland,16124.0,1
st21,秀潭,184482.155,2617186.309,inland,19544.9,1
st22,崁腳(1),202850.084,2612172.333,inland,34076.2,1
st23,古坑(1),205809.072,2615726.32,inland,34078.3,1
st24,嘉興(1),194863.115,2616165.316,inland,25675.0,1
st25,舊庄(1),188849.138,2614664.32,inland,23573.6,1
st26,湖子內,205180.008,2631107.104,inland,27375.1,1
st27,重興,208123.441,2630803.549,inland,30328.5,1
st28,港後(1),188049.136,2632614.25,inland,10326.8,1
st29,永定,191683.122,2632530.252,inland,13857.1,1
st30,二崙,190294.128,2629866.261,inland,13431.5,1
st31,豐榮(1),179783.168,2632016.25,inland,4004.8,1
st32,興化(1),177529.138,2628653.657,inland,7068.6,1
st33,海豐(1),171102.202,2629196.258,coastal,3903.5,1
st34,田洋(1),179546.171,2624783.278,inland,10991.7,1
st35,忠孝,180927.17,2613135.324,inland,17775.0,1
st36,箔子(1),163427.238,2614692.311,coastal,1771.3,1
st37,蔡厝(1),170329.212,2612298.323,inland,8257.8,1
st38,明德(1),168314.218,2616814.305,inland,4695.7,1
st39,東光(1),175734.189,2616664.308,inland,11825.3,1
st40,水林(1),173045.203,2607945.341,inland,10296.8,1
st41,大溝(1),169424.217,2607200.343,inland,6696.9,1
st42,瓊埔(1),169048.221,2601909.364,inland,5747.3,1
st43,全興(1),200458.331,2674159.127,coastal,3173.9,1
st44,員林(1),206713.269,2649723.789,inland,20600.1,1
st45,溪湖(1),196961.117,2649571.724,inland,13724.5,1
st46,趙甲(1),188451.976,2648234.647,inland,6482.9,1
st47,香田(1),186552.901,2641198.526,inland,8191.3,1
st48,芳苑(1),180817.848,2646747.575,coastal,698.7,1
st49,潭墘(1),183532.827,2636969.441,inland,5492.3,1
st50,西港(1),177626.753,2639771.446,inland,1382.0,1
st51,溪州(1),199199.083,2639060.575,inland,20474.3,1
st52,芳草(1),186177.783,2623977.257,inland,14177.4,1
st53,西螺(1),195718.986,2632516.451,inland,17812.8,1
st54,九隆(1),191995.896,2627574.35,inland,16013.9,1
st55,北港(1),178746.567,2608559.97,inland,15873.0,1
st56,東和(1),206079.067,2620297.33,inland,31854.2,1
st57,莿桐(1),198714.004,2628174.404,inland,21855.9,1
st58,後安(1),172024.615,2631889.287,coastal,2686.5,1
st59,安南(1),173394.575,2622437.15,inland,7844.1,1
st60,和豐(1),170826.56,2626337.193,inland,3798.7,1
st61,崙子(1),184158.672,2611722.054,inland,21292.6,1
