sub_id,lon,lat,x,y
新生國小,120.394274,23.937911,188341,2648279
湖南國小,120.48,23.95,196984,2649404
溪州國小,120.5,23.85,198873,2638772
僑義國小,120.471361,23.845062,196959,2637815
元長國小,120.308773,23.653342,179484,2616803
客厝國小,120.334296,23.626618,182074,2613831
內寮派駐站,120.354646,23.60767,184141,2611722
土庫國中,120.389843,23.688067,187771,2620610
秀潭國小,120.349591,23.658882,183651,2617396
宏崙國小,120.347845,23.686484,183488,2620464
光復國小,120.402464,23.741364,189083,2626507
拯民國小,120.407385,23.709472,189570,2622974
嘉興國小,120.459652,23.648009,194874,2616145
北辰國小,120.303054,23.575894,178860,2608238
