date time,st1,st2,st3,st4
2017-01-01 00:00:00,7.936,10.013,7.998,6.445
2017-01-02 00:00:00,7.858,9.917,8.064,6.535
2017-01-03 00:00:00,7.856,9.887,8.109,6.611
2017-01-04 00:00:00,7.931,9.863,8.195,6.787
2017-01-05 00:00:00,7.929,9.772,8.611,6.867
2017-01-06 00:00:00,7.889,10.151,8.679,6.896
2017-01-07 00:00:00,7.782,10.076,8.701,7.07
2017-01-08 00:00:00,7.666,10.2,8.822,7.237
2017-01-09 00:00:00,7.505,10.317,8.903,7.32
2017-01-10 00:00:00,7.476,10.29,8.892,7.464
2017-01-11 00:00:00,7.468,10.205,8.973,7.466
2017-01-12 00:00:00,7.646,10.204,9.009,7.619
2017-01-13 00:00:00,7.57,10.259,9.022,7.831
2017-01-14 00:00:00,7.674,10.359,9.126,7.896
2017-01-15 00:00:00,7.615,10.324,9.091,7.878
2017-01-16 00:00:00,7.82,10.296,9.111,7.952
2017-01-17 00:00:00,7.739,10.224,9.022,7.964
2017-01-18 00:00:00,7.733,10.19,9.016,8.642
2017-01-19 00:00:00,7.58,10.139,9.116,8.694
2017-01-20 00:00:00,7.537,10.057,9.051,8.772
2017-01-21 00:00:00,7.556,10.055,9.123,8.784
2017-01-22 00:00:00,7.601,10.251,9.226,8.758
2017-01-23 00:00:00,7.464,10.254,9.265,8.811
2017-01-24 00:00:00,7.424,10.188,9.548,8.827
2017-01-25 00:00:00,7.316,10.159,9.665,9.245
2017-01-26 00:00:00,7.224,10.155,9.654,9.157
2017-01-27 00:00:00,7.313,10.21,9.741,9.172
2017-01-28 00:00:00,7.329,10.21,9.715,9.134
2017-01-29 00:00:00,7.225,10.146,9.916,9.142
2017-01-30 00:00:00,7.109,10.149,10.159,9.228
2017-01-31 00:00:00,7.062,10.207,10.2,9.307
2017-02-01 00:00:00,7.003,10.13,10.218,9.323
2017-02-02 00:00:00,7.233,10.191,10.166,9.278
2017-02-03 00:00:00,7.185,10.545,10.097,9.315
2017-02-04 00:00:00,7.233,10.469,10.084,9.517
2017-02-05 00:00:00,7.187,10.435,10.134,9.719
2017-02-06 00:00:00,7.156,10.362,10.26,9.68
2017-02-07 00:00:00,7.15,10.337,10.252,9.836
2017-02-08 00:00:00,7.078,10.282,10.393,9.775
2017-02-09 00:00:00,7.051,10.291,10.353,10.174
2017-02-10 00:00:00,7.053,10.821,10.339,10.432
2017-02-11 00:00:00,6.999,10.771,10.376,10.338
2017-02-12 00:00:00,6.959,11.181,10.294,10.5
2017-02-13 00:00:00,6.966,11.085,10.261,10.363
2017-02-14 00:00:00,6.969,11.115,10.267,10.328
2017-02-15 00:00:00,6.952,11.354,10.149,10.276
2017-02-16 00:00:00,6.958,11.438,10.197,10.263
2017-02-17 00:00:00,6.915,11.423,10.209,10.4
2017-02-18 00:00:00,6.973,11.323,10.207,10.449
2017-02-19 00:00:00,6.908,11.177,10.221,10.454
2017-02-20 00:00:00,6.851,11.147,10.158,10.494
2017-02-21 00:00:00,6.816,11.152,10.166,10.482
2017-02-22 00:00:00,6.79,11.075,10.237,10.44
2017-02-23 00:00:00,6.949,11.177,10.226,10.398
2017-02-24 00:00:00,6.967,11.161,10.415,10.359
2017-02-25 00:00:00,7.331,11.178,10.409,10.354
2017-02-26 00:00:00,7.381,11.308,10.36,10.34
2017-02-27 00:00:00,7.384,11.208,10.284,10.404
2017-02-28 00:00:00,7.421,11.172,10.205,10.338
2017-03-01 00:00:00,7.777,11.151,10.227,10.354
2017-03-02 00:00:00,7.738,11.26,10.371,10.288
