date time,rf1,rf2,rf3,rf4
2017-01-01,0.0,6.9,0.0,0.0
2017-01-02,0.0,0.0,0.0,0.0
2017-01-03,1.47,0.0,0.0,0.0
2017-01-04,10.89,0.0,0.0,0.0
2017-01-05,0.0,0.0,19.7,0.0
2017-01-06,0.0,22.09,0.0,0.0
2017-01-07,0.0,0.0,0.0,3.19
2017-01-08,0.0,10.08,7.55,0.0
2017-01-09,0.0,9.06,0.0,0.0
2017-01-10,0.0,0.0,0.0,0.0
2017-01-11,0.0,0.0,0.0,0.0
2017-01-12,14.04,7.23,0.0,1.99
2017-01-13,0.0,0.0,0.0,0.0
2017-01-14,11.52,6.99,0.0,0.0
2017-01-15,0.0,5.96,0.0,0.0
2017-01-16,13.85,0.0,0.0,0.0
2017-01-17,0.0,0.0,0.0,0.0
2017-01-18,0.0,0.0,0.0,30.93
2017-01-19,0.0,0.0,3.55,0.0
2017-01-20,0.0,0.0,0.0,3.91
2017-01-21,8.6,2.37,0.0,0.0
2017-01-22,6.24,10.13,0.0,0.0
2017-01-23,0.0,0.0,0.0,0.0
2017-01-24,0.0,0.0,13.52,0.0
2017-01-25,0.0,0.0,0.0,16.56
2017-01-26,0.0,0.0,0.0,0.0
2017-01-27,0.0,0.0,0.0,0.0
2017-01-28,0.0,0.0,0.0,0.0
2017-01-29,0.0,0.0,5.36,0.0
2017-01-30,0.0,0.0,13.82,0.0
2017-01-31,0.0,0.0,0.0,0.0
2017-02-01,0.0,0.0,0.0,0.0
2017-02-02,7.75,0.0,0.0,0.0
2017-02-03,0.0,20.01,0.0,0.0
2017-02-04,0.0,0.0,0.0,9.69
2017-02-05,0.0,0.0,0.0,10.74
2017-02-06,0.0,0.0,8.81,0.0
2017-02-07,0.0,0.0,0.0,6.14
2017-02-08,0.0,0.0,9.73,0.0
2017-02-09,0.0,0.0,0.0,22.7
2017-02-10,0.0,22.02,0.0,14.48
2017-02-11,0.0,0.0,0.0,0.0
2017-02-12,0.0,20.91,0.0,10.24
2017-02-13,0.0,0.0,0.0,0.0
2017-02-14,0.0,0.0,0.0,0.0
2017-02-15,0.0,17.34,0.0,0.0
2017-02-16,0.0,6.26,0.0,0.0
2017-02-17,0.0,0.0,0.0,5.45
2017-02-18,5.46,0.0,4.87,0.0
2017-02-19,0.0,0.0,0.0,0.0
2017-02-20,0.0,0.0,0.0,0.0
2017-02-21,0.0,0.0,0.0,0.0
2017-02-22,0.0,0.0,0.0,0.0
2017-02-23,7.52,5.21,0.0,0.0
2017-02-24,0.0,0.0,9.05,0.0
2017-02-25,18.79,0.0,0.0,0.0
2017-02-26,0.0,10.41,0.0,0.0
2017-02-27,0.0,0.0,0.0,0.0
2017-02-28,0.0,0.0,0.0,0.0
2017-03-01,15.23,0.0,0.0,0.0
2017-03-02,0.0,9.03,7.44,0.0
2017-03-03,9.51,10.51,5.04,9.26
2017-03-04,22.8,0.0,0.0,0.0
2017-03-05,0.0,0.0,0.0,2.33
2017-03-06,0.0,4.83,0.0,6.72
2017-03-07,0.0,0.0,0.0,10.64
2017-03-08,4.91,0.0,8.31,0.0
2017-03-09,0.0,0.0,0.0,0.0
2017-03-10,0.0,0.0,0.0,0.0
2017-03-11,10.92,0.0,11.29,18.17
2017-03-12,0.0,0.0,0.0,0.0
2017-03-13,0.0,0.0,0.0,0.0
2017-03-14,0.0,0.0,0.0,0.0
2017-03-15,0.0,0.0,0.0,5.18
2017-03-16,0.0,0.0,0.0,0.0
2017-03-17,0.0,0.0,0.0,30.16
2017-03-18,0.0,0.0,0.0,0.0
2017-03-19,0.0,0.0,1.58,0.0
2017-03-20,0.0,0.0,0.0,0.0
2017-03-21,0.0,0.0,0.0,0.0
2017-03-22,0.0,0.0,0.0,0.0
2017-03-23,0.0,0.0,0.0,0.0
2017-03-24,0.0,1.96,9.14,0.0
2017-03-25,0.0,0.0,0.0,0.0
2017-03-26,0.0,0.0,0.0,0.0
2017-03-27,0.0,0.0,0.0,0.0
2017-03-28,0.0,20.29,0.0,0.0
2017-03-29,0.0,0.0,17.26,6.47
2017-03-30,8.15,0.0,0.0,0.0
2017-03-31,0.0,0.0,15.21,0.0
2017-04-01,0.0,4.01,0.0,0.0
2017-04-02,0.0,0.0,0.0,0.0
2017-04-03,14.39,0.0,0.0,13.84
2017-04-04,0.0,0.0,0.0,0.0
2017-04-05,0.0,0.0,0.0,0.0
2017-04-06,0.0,12.84,0.0,0.0
2017-04-07,14.71,0.0,0.0,14.13
2017-04-08,0.0,0.0,0.0,0.0
2017-04-09,0.0,0.0,0.0,0.0
2017-04-10,0.0,0.0,0.0,0.0
2017-04-11,0.0,0.0,0.0,9.74
2017-04-12,0.0,0.0,0.0,30.92
2017-04-13,0.0,3.45,0.0,0.0
2017-04-14,0.0,0.0,0.0,3.39
2017-04-15,0.0,18.49,0.0,0.0
2017-04-16,0.0,0.0,0.0,0.0
2017-04-17,0.0,0.0,0.0,0.0
2017-04-18,0.0,0.0,0.0,9.1
2017-04-19,14.92,0.0,0.0,0.0
2017-04-20,0.0,0.0,0.0,0.0
2017-04-21,0.0,0.0,0.0,10.34
2017-04-22,13.4,0.0,0.0,0.0
2017-04-23,0.0,0.0,23.98,7.48
2017-04-24,7.53,13.71,15.0,0.0
2017-04-25,0.0,0.0,0.0,0.0
2017-04-26,0.0,0.0,0.0,0.0
2017-04-27,0.0,0.0,0.0,0.0
2017-04-28,2.84,0.0,0.0,0.0
2017-04-29,0.0,0.0,0.0,0.0
2017-04-30,3.96,3.8,0.0,0.0
2017-05-01,0.0,0.0,5.22,0.0
2017-05-02,0.0,0.0,0.0,0.0
2017-05-03,0.0,0.0,0.0,0.0
2017-05-04,0.0,0.0,0.0,0.0
2017-05-05,0.0,16.67,0.0,4.95
2017-05-06,0.0,3.4,0.0,0.0
2017-05-07,0.0,0.0,0.0,0.0
2017-05-08,0.0,0.0,0.0,3.44
2017-05-09,4.74,0.0,3.26,0.0
2017-05-10,0.0,0.0,5.87,0.0
2017-05-11,0.0,0.0,0.0,0.0
2017-05-12,0.0,0.0,19.2,0.0
2017-05-13,0.0,0.0,0.0,20.27
2017-05-14,0.0,0.0,0.0,0.0
2017-05-15,0.0,0.0,0.0,0.0
2017-05-16,0.0,0.0,0.0,0.0
2017-05-17,0.0,18.71,0.0,0.0
2017-05-18,0.0,0.0,0.0,6.19
2017-05-19,0.0,0.0,0.0,12.85
2017-05-20,0.0,0.0,0.0,0.0
