river,name_zh,part,x_twd97,y_twd97
Xinhuwei,新虎尾溪,0,202113.8,2628364.7
Xinhuwei,新虎尾溪,0,200506.5,2628588.2
Xinhuwei,新虎尾溪,0,200018.4,2627607.2
Xinhuwei,新虎尾溪,0,196891.2,2627465.6
Xinhuwei,新虎尾溪,0,195812.8,2626925.3
Xinhuwei,新虎尾溪,0,194817.4,2626957.5
Xinhuwei,新虎尾溪,0,193504.4,2626511.6
Xinhuwei,新虎尾溪,0,192498.3,2626892.3
Xinhuwei,新虎尾溪,0,191773.7,2626602.6
Xinhuwei,新虎尾溪,0,188365.4,2627114.8
Xinhuwei,新虎尾溪,0,184291.6,2626811.8
Xinhuwei,新虎尾溪,0,182967.2,2626364.3
Xinhuwei,新虎尾溪,0,180674.8,2627130.1
Xinhuwei,新虎尾溪,0,178594.0,2626511.1
Xinhuwei,新虎尾溪,0,177049.4,2626593.3
Xinhuwei,新虎尾溪,0,175886.9,2625757.8
Xinhuwei,新虎尾溪,0,175015.1,2625730.8
Xinhuwei,新虎尾溪,0,173523.4,2626044.2
Xinhuwei,新虎尾溪,0,172347.4,2627807.0
Xinhuwei,新虎尾溪,0,170881.2,2628908.5
Xinhuwei,新虎尾溪,0,169116.3,2628820.2
Xinhuwei,新虎尾溪,0,168418.0,2628425.4
Choushui,濁水溪,1,236601.4,2630682.4
Choushui,濁水溪,1,236780.9,2631532.5
Choushui,濁水溪,1,235568.5,2631917.8
Choushui,濁水溪,1,234476.5,2632862.8
Choushui,濁水溪,1,234206.7,2634601.1
Choushui,濁水溪,1,232374.8,2635347.6
Choushui,濁水溪,1,230609.5,2634857.5
Choushui,濁水溪,1,225996.5,2634918.6
Choushui,濁水溪,1,222199.6,2636093.9
Choushui,濁水溪,1,221344.5,2636033.0
Choushui,濁水溪,1,220344.3,2635287.6
Choushui,濁水溪,1,219592.6,2633687.4
Choushui,濁水溪,1,218807.9,2632905.6
Choushui,濁水溪,1,218103.0,2632701.6
Choushui,濁水溪,1,217410.4,2631673.3
Choushui,濁水溪,1,215578.8,2630990.2
Choushui,濁水溪,1,214213.9,2630972.5
Choushui,濁水溪,1,208391.7,2632223.6
Choushui,濁水溪,1,207581.1,2632902.0
Choushui,濁水溪,1,206062.9,2633011.5
Choushui,濁水溪,1,204786.1,2632413.3
Choushui,濁水溪,1,201797.5,2633269.4
Choushui,濁水溪,1,199364.2,2633287.8
Choushui,濁水溪,1,197277.5,2634168.7
Choushui,濁水溪,1,195363.3,2634247.9
Choushui,濁水溪,1,192414.1,2635170.6
Choushui,濁水溪,1,189990.6,2636997.8
Choushui,濁水溪,1,189063.7,2637001.7
Choushui,濁水溪,1,186598.8,2636212.3
Choushui,濁水溪,1,185791.5,2636559.3
Choushui,濁水溪,1,184523.5,2636543.3
Choushui,濁水溪,1,182438.5,2635731.2
Choushui,濁水溪,1,181273.2,2636188.8
Choushui,濁水溪,1,178602.9,2636432.2
Choushui,濁水溪,1,175876.8,2637037.4
Choushui,濁水溪,1,173362.7,2638959.5
Beigang,北港溪,2,181414.3,2607604.6
Beigang,北港溪,2,179577.0,2608284.2
Beigang,北港溪,2,179109.0,2607939.2
Beigang,北港溪,2,179633.2,2606865.2
Beigang,北港溪,2,179006.9,2606627.0
Beigang,北港溪,2,177436.3,2607014.2
Beigang,北港溪,2,177309.8,2606360.8
Beigang,北港溪,2,177802.7,2605445.9
Beigang,北港溪,2,177704.4,2605027.0
Beigang,北港溪,2,175776.6,2604622.7
Beigang,北港溪,2,175569.3,2603171.5
