chainage_km,x_twd97,y_twd97
0.0,211007.5,2668048.4
0.25,210985.1,2667799.4
0.5,210962.8,2667550.4
0.75,210940.1,2667301.4
1.0,210917.2,2667052.5
1.25,210894.2,2666803.6
1.5,210871.4,2666554.6
1.75,210848.7,2666305.6
2.0,210826.0,2666056.7
2.25,210803.4,2665807.7
2.5,210782.1,2665558.6
2.75,210760.5,2665309.5
3.0,210738.3,2665060.5
3.25,210715.4,2664811.6
3.5,210690.7,2664562.8
3.75,210665.7,2664314.1
4.0,210636.2,2664065.8
4.25,210605.1,2663817.8
4.5,210560.4,2663571.8
4.75,210505.0,2663328.0
5.0,210441.4,2663086.3
5.25,210368.4,2662847.2
5.5,210290.5,2662609.6
5.75,210216.6,2662370.8
6.0,210144.2,2662131.5
6.25,210075.8,2661891.1
6.5,210011.5,2661649.5
6.75,209951.3,2661406.9
7.0,209898.6,2661162.6
7.25,209852.1,2660916.9
7.5,209811.4,2660670.3
7.75,209822.5,2660421.3
8.0,209841.4,2660172.1
8.25,209860.4,2659922.8
8.5,209879.4,2659673.5
8.75,209898.3,2659424.2
9.0,209917.3,2659174.9
9.25,209936.3,2658925.7
9.5,209955.2,2658676.4
9.75,209974.2,2658427.1
10.0,209993.2,2658177.8
10.25,210012.1,2657928.5
10.5,210033.5,2657679.5
10.75,210055.4,2657430.4
11.0,210077.3,2657181.4
11.25,210099.2,2656932.3
11.5,210121.1,2656683.3
11.75,210143.0,2656434.3
12.0,210164.9,2656185.2
12.25,210186.8,2655936.2
12.5,210208.7,2655687.1
12.75,210230.6,2655438.1
13.0,210252.5,2655189.1
13.25,210275.1,2654940.1
13.5,210298.3,2654691.2
13.75,210321.5,2654442.2
14.0,210344.7,2654193.3
14.25,210367.9,2653944.4
14.5,210391.1,2653695.5
14.75,210414.3,2653446.6
15.0,210437.5,2653197.6
15.25,210460.7,2652948.7
15.5,210483.9,2652699.8
15.75,210507.1,2652450.9
16.0,210530.3,2652202.0
16.25,210553.1,2651953.0
16.5,210575.1,2651704.0
16.75,210597.0,2651454.9
17.0,210617.6,2651205.8
17.25,210637.1,2650956.5
17.5,210656.3,2650707.3
17.75,210674.6,2650457.9
18.0,210693.2,2650208.6
18.25,210711.6,2649959.3
18.5,210729.2,2649709.9
18.75,210746.3,2649460.5
19.0,210762.9,2649211.1
19.25,210780.3,2648961.7
19.5,210798.5,2648712.4
19.75,210816.8,2648463.0
20.0,210834.1,2648213.6
20.25,210849.3,2647964.1
20.5,210860.8,2647714.4
20.75,210864.2,2647464.4
21.0,210859.8,2647214.5
21.25,210844.5,2646965.0
21.5,210819.9,2646716.3
21.75,210785.9,2646468.7
22.0,210744.8,2646222.1
22.25,210691.4,2645977.8
22.5,210628.8,2645735.9
22.75,210559.3,2645495.8
23.0,210481.4,2645258.2
23.25,210394.8,2645023.7
23.5,210298.8,2644793.0
23.75,210192.8,2644566.7
24.0,210079.6,2644343.8
24.25,209959.0,2644124.8
24.5,209825.2,2643913.7
24.75,209687.0,2643705.4
25.0,209542.7,2643501.2
25.25,209391.0,2643302.6
25.5,209232.4,2643109.5
25.75,209064.8,2642924.0
26.0,208891.0,2642744.4
26.25,208709.6,2642572.3
26.5,208522.8,2642406.4
26.75,208329.0,2642248.5
27.0,208128.8,2642098.8
27.25,207926.6,2641951.9
27.5,207722.1,2641808.0
27.75,207515.1,2641667.9
28.0,207307.4,2641528.8
28.25,207097.7,2641392.6
28.5,206888.1,2641256.4
28.75,206681.6,2641115.5
29.0,206474.0,2640976.2
29.25,206268.4,2640834.0
29.5,206058.4,2640698.4
29.75,205849.0,2640561.7
30.0,205640.0,2640424.6
30.25,205428.7,2640291.0
30.5,205217.1,2640157.8
30.75,205002.9,2640028.9
31.0,204787.0,2639902.8
31.25,204569.7,2639779.3
31.5,204348.0,2639663.7
31.75,204123.4,2639554.0
32.0,203897.9,2639446.0
32.25,203671.6,2639339.9
32.5,203445.2,2639233.8
32.75,203218.1,2639129.4
33.0,202990.6,2639025.7
33.25,202762.5,2638923.4
33.5,202532.8,2638824.6
33.75,202301.3,2638730.4
34.0,202067.4,2638642.3
34.25,201830.9,2638561.3
34.5,201592.9,2638484.9
34.75,201353.3,2638413.4
35.0,201112.1,2638347.8
35.25,200869.7,2638287.0
35.5,200627.2,2638226.1
35.75,200383.6,2638169.7
36.0,200139.9,2638113.9
36.25,199896.3,2638058.1
36.5,199652.6,2638002.2
36.75,199408.9,2637946.4
37.0,199164.8,2637892.2
37.25,198920.7,2637838.1
37.5,198676.7,2637784.1
37.75,198432.6,2637730.0
38.0,198188.5,2637676.0
38.25,197944.4,2637621.8
38.5,197700.4,2637567.6
38.75,197456.3,2637513.3
