st_id,kge,nse,rmse,kge_r,kge_alpha,kge_beta
st30,0.7948,0.7853,0.5663,0.9642,0.8019,1.0398
st14,0.9627,0.9538,0.3813,0.9797,1.0312,0.9971
st7,0.6906,0.8362,0.5815,0.9783,1.3086,0.995
st5,0.3607,0.3049,1.5341,0.5892,0.5103,1.0099
st28,0.7374,0.8531,0.4742,0.9643,0.7408,1.0227
st23,0.8059,0.7444,2.3901,0.8688,0.8573,0.9921
st41,0.9244,0.9004,1.7164,0.9586,1.0592,1.0221
st40,0.866,0.9258,1.4532,0.9828,0.8747,0.9557
st42,0.8287,0.9363,1.4466,0.9833,0.8306,1.0198
st26,0.9124,0.8496,0.7382,0.9461,0.9318,0.989
st55,0.8265,0.841,1.7118,0.9202,0.846,1.0041
st49,0.3311,0.7957,0.6351,0.9291,0.8628,1.6508
st51,0.4486,-1.2794,1.1344,0.65,0.5756,1.0378
st59,0.7576,0.7209,1.1942,0.943,1.2288,1.0566
st19,0.6336,0.5542,1.1826,0.8828,1.346,0.9724
st10,0.6761,-0.9106,0.8896,0.7719,0.7756,1.0505
st18,0.8439,0.6368,0.3306,0.8894,0.891,1.0162
st33,0.6251,0.5695,1.4589,0.9111,0.6434,0.9259
st9,0.6368,0.5718,0.386,0.903,0.6501,1.01
st17,0.4862,-1.2964,1.8331,0.642,0.6516,1.1203
st39,0.6483,0.7289,0.9007,0.8831,0.847,0.7057
st48,0.8544,0.7259,0.6458,0.885,1.0848,1.0277
st29,0.5647,0.7063,0.5353,0.9011,0.5761,1.0003
st57,0.8209,0.2906,0.7944,0.8558,0.8958,1.0213
st12,0.6617,-1.5309,0.8409,0.6837,0.8933,1.0549
st47,0.4852,-0.3792,0.953,0.5655,0.7422,1.0987
st35,0.499,0.1384,1.6995,0.6514,0.6592,0.8844
st13,0.6443,0.4301,0.5317,0.7708,0.7284,1.013
st37,0.6994,0.4842,2.382,0.7189,0.8937,0.9908
st52,0.5389,-0.4481,1.2789,0.7723,0.609,1.0885
st8,0.3523,-0.1427,0.8285,0.5724,0.5139,1.0171
st50,0.8298,0.6085,0.6353,0.8468,1.0611,0.9581
st38,0.2658,-2.0472,4.3364,0.5135,0.5635,0.6656
st60,0.8261,0.5676,1.4967,0.8427,1.0473,1.0573
st31,0.1333,-1.3463,2.0244,0.7314,1.0751,1.8206
st21,0.5506,0.0559,3.2423,0.6045,1.0532,0.7932
st54,0.2423,-3.0552,1.4234,0.4505,0.4836,1.0742
st53,0.4873,0.0963,0.4944,0.584,0.7005,1.0114
st2,-21.6273,0.3095,0.5555,0.8041,0.7551,23.6251
st6,0.5898,0.4958,0.9995,0.8212,0.7346,0.7434
st20,0.2914,-2.879,2.5093,0.5105,0.6451,1.3695
st58,0.6975,-0.0625,1.5714,0.8203,0.8022,1.1418
st15,0.691,0.1208,1.9998,0.7604,0.8088,1.0391
st45,0.4154,-0.5684,1.8298,0.5532,0.6571,1.1566
st46,-2.74,0.0006,1.3855,0.9315,1.0987,-2.7381
st43,0.491,-0.0547,0.4904,0.6787,1.3947,1.0095
st32,0.4587,0.2184,2.454,0.6715,0.6096,1.1808
st4,0.4433,-2.1364,0.9705,0.5082,1.1799,1.1886
st27,0.7114,-0.3818,2.6868,0.7797,0.8235,1.0602
st61,0.2481,0.2748,4.3403,0.5732,0.3828,0.9527
st11,0.5196,-1.9683,2.6281,0.8262,1.1998,1.4008
st24,0.5177,0.4522,3.0826,0.7588,0.6209,1.1753
st16,0.6679,0.1554,0.4833,0.7172,1.1741,1.0048
st34,0.2828,-0.4089,0.3829,0.283,0.9823,1.0002
st25,0.2033,-2.3108,1.3845,0.4576,0.4245,1.0969
st1,-0.2268,-0.0359,1.2487,0.3866,0.454,0.0886
st44,0.2311,-0.7762,1.3421,0.3898,0.5345,0.9532
st3,0.5163,-0.0167,0.4413,0.6264,0.7062,1.0897
st22,0.3579,-0.7676,2.3125,0.6968,0.4347,0.9717
st36,0.228,-0.7999,1.5833,0.4052,0.5466,0.8085
st56,0.8404,0.7347,2.1018,0.8765,0.8996,0.9879
