st_id,kge,nse,rmse,kge_r,kge_alpha,kge_beta
st30,0.7907,0.8008,0.5455,0.9753,0.796,1.0398
st14,0.9505,0.9071,0.5408,0.9729,1.0404,0.9908
st7,0.6679,0.8141,0.6193,0.9772,1.3313,0.9942
st5,0.3396,0.356,1.4766,0.7558,0.3866,1.0147
st28,0.7786,0.8772,0.4336,0.965,0.7823,1.0199
st23,0.497,0.4542,3.4925,0.6776,0.6139,0.9976
st41,0.9388,0.8959,1.7551,0.9537,1.0345,1.0203
st40,0.803,0.9088,1.6103,0.9833,0.8086,0.9565
st42,0.9059,0.9402,1.4012,0.9817,0.9133,1.0318
st26,0.6167,0.7855,0.8817,0.9435,0.6209,1.0013
st55,0.8897,0.7978,1.9305,0.909,1.0586,1.0214
st49,0.2317,0.7682,0.6766,0.9297,0.8099,1.7411
st51,0.4486,-1.2794,1.1344,0.65,0.5756,1.0378
st59,0.7779,0.7586,1.1105,0.9518,1.2098,1.0546
st19,0.6757,0.715,0.9455,0.9327,1.3164,0.9765
st10,0.6691,-0.7304,0.8466,0.8877,0.6927,1.0501
st18,0.7539,0.5448,0.37,0.8828,0.7845,1.0196
st33,0.6069,0.5916,1.4209,0.9214,0.6212,0.9303
st9,0.7325,0.6567,0.3456,0.9022,0.7512,1.0086
st17,0.4862,-1.2964,1.8331,0.642,0.6516,1.1203
st39,0.5595,0.7171,0.9201,0.9007,0.8304,0.6057
st48,0.8104,0.8012,0.5499,0.8976,0.8406,1.0073
st29,0.534,0.7131,0.5291,0.9311,0.5391,0.999
st57,0.8318,0.3855,0.7393,0.8745,1.1104,1.0182
st12,0.6042,-2.3509,0.9676,0.6922,0.7601,1.066
st47,0.4435,-0.3874,0.9558,0.7106,0.5381,1.1122
st35,0.6519,0.3031,1.5285,0.6525,0.9919,0.9813
st13,0.7214,0.5373,0.4791,0.7888,0.8185,1.0093
st37,0.7365,0.5389,2.2523,0.7516,0.9121,1.003
st52,0.3685,0.2428,0.9247,0.5957,0.5157,1.0285
st8,0.3523,-0.1427,0.8285,0.5724,0.5139,1.0171
st50,0.7665,0.5748,0.6621,0.8388,1.1672,0.9758
st38,0.2658,-2.0472,4.3364,0.5135,0.5635,0.6656
st60,0.8299,0.5796,1.4757,0.8435,1.0368,1.0555
st31,0.1257,-1.3461,2.0243,0.7371,0.9998,1.8338
st21,0.5819,0.4508,2.4728,0.7357,0.7369,0.8111
st54,0.2423,-3.0552,1.4234,0.4505,0.4836,1.0742
st53,0.2194,-0.5127,0.6397,0.8641,1.7686,0.9843
st2,-20.9546,0.4287,0.5053,0.8914,0.666,22.9518
st6,0.5483,0.5903,0.901,0.8322,0.6044,0.8608
st20,0.5682,-0.3556,1.4834,0.7083,0.7472,1.1935
st58,0.6789,-0.0665,1.5743,0.8197,0.7754,1.1419
st15,0.691,0.1208,1.9998,0.7604,0.8088,1.0391
st45,0.3914,-0.6933,1.9012,0.5151,0.6703,1.1629
st46,-2.3831,0.1977,1.2414,0.9422,0.9958,-2.3826
st43,0.7641,0.4834,0.3433,0.769,1.0297,1.0374
st32,0.5381,0.3408,2.2537,0.7624,0.6472,1.1803
st4,0.5975,-1.4895,0.8646,0.6415,0.9736,1.1811
st27,0.7114,-0.3818,2.6868,0.7797,0.8235,1.0602
st61,0.4515,0.5065,3.5802,0.751,0.5113,1.0022
st11,0.5729,-1.785,2.5457,0.8698,1.0751,1.3998
st24,0.6461,0.3688,3.3089,0.6797,0.9015,1.1137
st16,0.5866,-0.053,0.5396,0.6131,1.1454,1.0047
st34,0.5492,-0.0297,0.3273,0.6028,1.2131,0.9925
st25,0.2033,-2.3108,1.3845,0.4576,0.4245,1.0969
st1,0.0031,0.188,1.1055,0.5754,0.601,0.1911
st44,0.2311,-0.7762,1.3421,0.3898,0.5345,0.9532
st3,0.2594,-0.6446,0.5612,0.265,0.9439,1.0712
st22,0.4184,-1.2775,2.6249,0.7267,1.5126,0.9717
st36,-0.0089,-1.5799,1.8956,0.0145,1.1994,0.9173
st56,0.8404,0.7347,2.1018,0.8765,0.8996,0.9879
