st_id,kge,nse,rmse,kge_r,kge_alpha,kge_beta
st30,0.4465,-0.7673,1.6248,0.6224,0.6148,1.1244
st14,0.6573,-0.4239,2.1174,0.7406,0.7815,1.0486
st7,0.5823,0.1399,1.3323,0.6788,0.7342,1.0261
st5,0.67,0.2529,1.5905,0.7504,0.7862,1.0291
st28,0.4761,-0.3481,1.4365,0.6338,0.6451,1.1199
st23,0.8059,0.7444,2.3901,0.8688,0.8573,0.9921
st41,0.7029,0.4973,3.8562,0.7783,0.8187,0.921
st40,0.6752,0.4828,3.8357,0.8164,0.7563,0.8887
st42,0.7391,0.6184,3.5399,0.8162,0.8218,0.9493
st26,0.6849,0.1979,1.705,0.7512,0.8092,1.0312
st55,0.6637,0.5488,2.8838,0.8099,0.7365,0.9132
st49,-1.6775,-0.6907,1.8271,0.5707,0.5911,3.6111
st51,0.4486,-1.2794,1.1344,0.65,0.5756,1.0378
st59,0.5731,0.3926,1.7616,0.7246,0.6813,0.9306
st19,0.5629,0.3775,1.3976,0.7076,0.6889,1.0938
st10,0.2715,-4.1177,1.4559,0.3876,0.6147,1.0845
st18,0.489,-3.0657,1.1059,0.5858,0.7106,1.076
st33,0.1032,0.1231,2.0821,0.3542,0.3778,0.9929
st9,0.3649,-0.1991,0.6459,0.5967,0.5097,1.0174
st17,0.4862,-1.2964,1.8331,0.642,0.6516,1.1203
st39,-0.9711,-1.7491,2.868,0.6239,0.7666,-0.9207
st48,0.1241,0.0102,1.2271,0.3457,0.4216,0.9324
st29,0.4137,-0.5095,1.2137,0.597,0.5801,1.0705
st57,0.5454,-0.9874,1.3296,0.6711,0.6885,1.0384
st12,0.1756,-7.8247,1.5703,0.3517,0.5029,1.1106
st47,0.0915,-4.05,1.8236,0.2728,0.513,1.2435
st35,0.499,0.1384,1.6995,0.6514,0.6592,0.8844
st13,0.4067,-1.2214,1.0497,0.5537,0.6111,1.0398
st37,0.61,0.0263,3.2729,0.7207,0.7673,0.8587
st52,0.5389,-0.4481,1.2789,0.7723,0.609,1.0885
st8,0.3523,-0.1427,0.8285,0.5724,0.5139,1.0171
st50,0.0153,-1.5767,1.6297,0.321,0.3206,0.7831
st38,0.2658,-2.0472,4.3364,0.5135,0.5635,0.6656
st60,0.3332,0.3113,1.8888,0.5662,0.4937,0.9886
st31,-0.407,-4.2163,3.0184,0.5783,0.7301,2.315
st21,0.53,0.2976,2.7967,0.7488,0.7676,0.6778
st54,0.2423,-3.0552,1.4234,0.4505,0.4836,1.0742
st53,0.4873,0.0963,0.4944,0.584,0.7005,1.0114
st2,-32.9044,-0.6614,0.8616,0.3026,0.3467,34.8909
st6,0.2363,0.0749,1.3539,0.5566,0.4519,1.2936
st20,0.2914,-2.879,2.5093,0.5105,0.6451,1.3695
st58,0.2076,-0.2004,1.6703,0.4182,0.4716,1.1009
st15,0.691,0.1208,1.9998,0.7604,0.8088,1.0391
st45,0.1973,-1.3722,2.2503,0.5505,0.371,1.2159
st46,-0.8019,0.1189,1.3009,0.5377,0.4657,2.6576
st43,0.2338,-0.2506,0.5341,0.4033,0.534,1.1175
st32,0.5575,0.2411,2.4182,0.7269,0.7168,0.7973
st4,0.335,-1.6935,0.8994,0.5683,0.5321,1.1921
st27,0.7114,-0.3818,2.6868,0.7797,0.8235,1.0602
st61,0.5956,0.4415,3.8088,0.7642,0.6995,0.8674
st11,0.1392,-1.4308,2.3783,0.3077,0.5887,1.3042
st24,0.5177,0.4522,3.0826,0.7588,0.6209,1.1753
st16,0.6712,0.5302,0.3604,0.7959,0.7422,1.0039
st34,0.3809,0.1731,0.2933,0.4918,0.6466,1.011
st25,0.2033,-2.3108,1.3845,0.4576,0.4245,1.0969
st1,0.0031,0.188,1.1055,0.5754,0.601,0.1911
st44,0.2311,-0.7762,1.3421,0.3898,0.5345,0.9532
st3,0.5163,-0.0167,0.4413,0.6264,0.7062,1.0897
st22,0.5808,-0.572,2.1808,0.7527,0.6626,0.9724
st36,0.228,-0.7999,1.5833,0.4052,0.5466,0.8085
st56,0.8404,0.7347,2.1018,0.8765,0.8996,0.9879
