st_id,kge,nse,rmse,kge_r,kge_alpha,kge_beta
st30,,-1.9663,2.105,,0.0,1.1623
st14,,-0.0451,1.814,,0.0,0.9895
st7,,-0.1029,1.5087,,0.0,1.0149
st5,,-0.0049,1.8446,,0.0,1.0037
st28,,-1.5054,1.9583,,0.0,1.1699
st23,,-0.0022,4.7325,,0.0,1.0036
st41,,-0.7038,7.0994,,0.0,0.7973
st40,,-0.9207,7.3918,,0.0,0.7484
st42,,-0.7577,7.5977,,0.0,0.7981
st26,,-0.0199,1.9227,,0.0,1.0073
st55,,-0.7671,5.7068,,0.0,0.7617
st49,,-2.4569,2.6126,,0.0,5.0604
st51,,-0.5636,0.9395,,0.0,0.9782
st59,,-0.3451,2.6215,,0.0,0.8872
st19,,-1.2714,2.6695,,0.0,1.3018
st10,,-2.1765,1.147,,0.0,1.0607
st18,,-2.4972,1.0257,,0.0,1.0652
st33,,-0.4475,2.6751,,0.0,0.886
st9,,-0.0133,0.5937,,0.0,0.9973
st17,,-0.4604,1.4618,,0.0,1.0624
st39,,-1.0219,2.4596,,0.0,-0.3342
st48,,-0.8907,1.696,,0.0,0.8018
st29,,-1.4165,1.5356,,0.0,1.0902
st57,,-0.4985,1.1545,,0.0,1.0226
st12,,-1.5826,0.8495,,0.0,1.0494
st47,,-4.653,1.9294,,0.0,1.2605
st35,,-0.2221,2.0242,,0.0,0.8981
st13,,-1.109,1.0228,,0.0,1.0339
st37,,-1.0764,4.7794,,0.0,0.7907
st52,,-0.1481,1.1387,,0.0,1.0338
st8,,-0.0059,0.7773,,0.0,0.9981
st50,,-0.0592,1.0449,,0.0,0.9593
st38,,-1.3542,3.8115,,0.0,0.7439
st60,,-0.0906,2.3769,,0.0,0.9457
st31,,-0.9165,1.8296,,0.0,1.5916
st21,,-0.6257,4.2546,,0.0,0.5028
st54,,-0.6153,0.8984,,0.0,1.0322
st53,,-0.1588,0.5599,,0.0,1.0094
st2,,-1.9286,1.144,,0.0,55.307
st6,,-0.8237,1.9009,,0.0,1.563
st20,,-2.6521,2.4348,,0.0,1.3406
st58,,-0.0031,1.5268,,0.0,0.9908
st15,,-0.046,2.1813,,0.0,0.9876
st45,,-1.3385,2.2343,,0.0,1.1949
st46,,-0.5909,1.7481,,0.0,4.1365
st43,,-0.4768,0.5804,,0.0,1.1289
st32,,-0.8476,3.7731,,0.0,0.6518
st4,,-0.5229,0.6763,,0.0,1.0979
st27,,-0.0191,2.3073,,0.0,0.9916
st61,,-0.6065,6.4598,,0.0,0.7222
st11,,-0.0021,1.527,,0.0,1.0116
st24,,-1.6311,6.7556,,0.0,1.6923
st16,,-0.2558,0.5893,,0.0,0.9937
st34,,-0.3826,0.3793,,0.0,1.0322
st25,,-0.568,0.9528,,0.0,1.046
st1,,-1.6152,1.984,,0.0,-1.7234
st44,,-0.017,1.0155,,0.0,1.0064
st3,,-0.1507,0.4694,,0.0,0.9451
st22,,-0.0002,1.7395,,0.0,0.9997
st36,,-0.5357,1.4625,,0.0,0.8557
st56,,-0.0202,4.1214,,0.0,1.0094
