st_id,kge,nse,rmse,kge_r,kge_alpha,kge_beta
st30,0.9968,0.9938,0.0965,0.9969,1.0006,1.0001
st14,0.9995,0.9991,0.0536,0.9995,0.9999,1.0
st7,0.9997,0.9994,0.0364,0.9997,1.0,1.0
st5,0.9998,0.9996,0.0368,0.9998,0.9999,1.0
st28,0.9952,0.9904,0.1211,0.9952,1.0004,1.0001
st23,0.9997,0.9994,0.1156,0.9997,1.0,1.0
st41,0.9982,0.9963,0.3293,0.9982,1.0,1.0
st40,0.9989,0.9978,0.2483,0.9989,1.0,1.0
st42,0.9989,0.9978,0.2666,0.9989,1.0,1.0
st26,0.9996,0.9992,0.0551,0.9996,0.9999,1.0
st55,0.9992,0.9985,0.1681,0.9992,0.9999,1.0
st49,0.9893,0.9788,0.2045,0.9894,1.0005,1.0011
st51,0.9994,0.9989,0.0254,0.9994,1.0002,1.0
st59,0.9964,0.9928,0.1924,0.9964,1.0001,0.9999
st19,0.9996,0.9993,0.0465,0.9997,0.9998,0.9999
st10,0.9991,0.9989,0.0213,0.9995,1.0007,1.0
st18,0.9961,0.9923,0.0482,0.9961,1.0007,1.0001
st33,0.9894,0.9788,0.3237,0.9894,1.0001,0.9999
st9,0.9951,0.9901,0.0586,0.9951,0.9999,1.0
st17,0.9993,0.9987,0.0436,0.9994,1.0001,1.0
st39,0.9976,0.996,0.1091,0.998,1.0003,0.9987
st48,0.9948,0.9896,0.1258,0.9948,1.0003,0.9999
st29,0.9942,0.9885,0.1059,0.9943,1.0004,1.0
st57,0.9995,0.9991,0.0276,0.9996,1.0001,1.0
st12,0.9994,0.9995,0.0124,0.9997,1.0005,1.0
st47,0.9983,0.9991,0.0247,0.9995,1.0016,1.0002
st35,0.9996,0.9994,0.045,0.9997,0.9997,1.0001
st13,0.999,0.9981,0.0311,0.999,1.0004,1.0
st37,0.9991,0.9983,0.1355,0.9992,1.0002,0.9999
st52,0.9654,0.9308,0.2796,0.9654,1.0,1.0
st8,0.9966,0.9931,0.0642,0.9966,0.9997,1.0
st50,0.9853,0.9706,0.174,0.9853,0.9999,1.0
st38,0.9887,0.9774,0.3734,0.9887,1.0004,0.9999
st60,0.993,0.9861,0.2688,0.993,1.0,0.9999
st31,0.9959,0.9918,0.1196,0.9959,1.0002,1.0006
st21,0.9981,0.9963,0.2037,0.9981,0.9997,1.0002
st54,0.9848,0.9697,0.1231,0.9848,1.0002,1.0
st53,0.9995,0.999,0.0166,0.9995,1.0,1.0
st2,0.9624,0.9952,0.0463,0.9976,1.0007,1.0375
st6,0.9926,0.9852,0.1713,0.9926,1.0001,1.0001
st20,0.9622,0.9244,0.3504,0.9622,1.0009,1.0002
st58,0.9881,0.9762,0.2353,0.9881,1.0,1.0
st15,0.9996,0.9993,0.0564,0.9997,0.9999,1.0
st45,0.9956,0.9912,0.1367,0.9956,1.0003,1.0001
st46,0.9973,0.9947,0.101,0.9973,1.0001,1.0003
st43,0.998,0.996,0.0301,0.998,1.0,1.0002
st32,0.9893,0.9786,0.4061,0.9893,1.0002,0.9999
st4,0.991,0.9819,0.0737,0.991,0.9999,1.0002
st27,0.9996,0.9992,0.0639,0.9996,0.9999,1.0
st61,0.9971,0.9941,0.3913,0.9971,1.0,1.0
st11,0.9955,0.9909,0.1455,0.9955,1.0,1.0
st24,0.997,0.9941,0.3204,0.997,1.0001,1.0
st16,0.987,0.9739,0.0849,0.987,0.9998,1.0
st34,0.9921,0.9842,0.0405,0.9921,0.9998,1.0001
st25,0.9754,0.9509,0.1686,0.9754,1.0002,1.0
st1,0.9954,0.9909,0.1173,0.9954,1.0002,0.9996
st44,0.9973,0.9947,0.0736,0.9973,1.0,1.0
st3,0.9875,0.9752,0.0689,0.9876,0.9988,1.0001
st22,0.9996,0.9995,0.0391,0.9997,0.9997,1.0
st36,0.9975,0.9951,0.0826,0.9976,1.0001,0.9998
st56,0.9997,0.9994,0.101,0.9997,1.0,1.0
