site_index,site_name,r2,loss
0,新生國小,-2.6100363622629335,0.007240041624754667
1,湖南國小,0.368840991096268,0.0014067700831219554
2,溪州國小,0.2102667580521994,0.00031960615888237953
3,僑義國小,0.21940789258398896,0.0009841936407610774
4,元長國小,0.37774670194883164,0.004923488479107618
5,客厝國小,0.9748583711161506,0.00011532398639246821
6,內寮派駐站,-4.35048870093651,0.04354442283511162
7,土庫國中,0.3999120264969015,0.002117136027663946
8,秀潭國小,0.948835065603051,0.0005064505385234952
9,宏崙國小,-1.3029518348109876,0.011924978345632553
10,光復國小,-1.1240595063832313,0.004573457408696413
11,拯民國小,0.5090475754934574,0.00045631654211319983
12,嘉興國小,-228.9324395442781,0.08819214999675751
13,北辰國小,-54.58859701388232,0.11457807570695877
