st_id,clim,ens_mean,ens_hybrid,disagreement,train_kge,trusted
st30,0.4465,0.7907,0.7907,0.0639,0.8312,True
st14,0.6573,0.9505,0.9505,0.3443,0.8454,True
st7,0.5823,0.6679,0.6679,0.0638,0.6514,True
st5,0.67,0.3396,0.3396,0.5484,0.3712,True
st28,0.4761,0.7786,0.7786,0.0997,0.74,True
st23,0.8059,0.497,0.8059,5.7579,0.4977,False
st41,0.7029,0.9388,0.9388,0.2557,0.9427,True
st40,0.6752,0.803,0.803,0.4472,0.7744,True
st42,0.7391,0.9059,0.9059,0.4996,0.8893,True
st26,0.6849,0.6167,0.6167,0.7718,0.6813,True
st55,0.6637,0.8897,0.8897,0.9198,0.8886,True
st49,-1.6775,0.2317,0.2317,0.2086,0.7812,True
st51,0.4486,-0.1814,0.4486,0.2341,-0.3185,False
st59,0.5731,0.7779,0.7779,0.2512,0.7672,True
st19,0.5629,0.6757,0.6757,0.3495,0.863,True
st10,0.2715,0.6691,0.6691,0.1583,0.593,True
st18,0.489,0.7539,0.7539,0.1018,0.8519,True
st33,0.1032,0.6069,0.6069,0.5812,0.7266,True
st9,0.3649,0.7325,0.7325,0.0494,0.8064,True
st17,0.4862,0.2958,0.2958,0.2119,0.2906,True
st39,-0.9711,0.5595,0.5595,0.3118,0.7651,True
st48,0.1241,0.8104,0.8104,0.4861,0.7508,True
st29,0.4137,0.534,0.534,0.0917,0.6362,True
st57,0.5454,0.8318,0.8318,0.1701,0.7802,True
st12,0.1756,0.6042,0.6042,0.1308,0.5446,True
st47,0.0915,0.4435,0.4435,0.217,0.4103,True
st35,0.499,0.6519,0.6519,1.4083,0.6017,True
st13,0.4067,0.7214,0.7214,0.1273,0.7577,True
st37,0.61,0.7365,0.7365,0.9307,0.6833,True
st52,0.5389,0.3685,0.3685,0.3813,0.44,True
st8,0.3523,0.2974,0.3523,0.1628,-0.0801,False
st50,0.0153,0.7665,0.7665,0.1086,0.6928,True
st38,0.2658,0.1071,0.2658,2.1047,-0.0467,False
st60,0.3332,0.8299,0.8299,0.1511,0.8015,True
st31,-0.407,0.1257,0.1257,0.3809,0.7766,True
st21,0.53,0.5819,0.5819,1.0709,0.6599,True
st54,0.2423,0.0725,0.2423,0.1672,0.1553,False
st53,0.4873,0.2194,0.2194,0.197,0.3344,True
st2,-32.9044,-20.9546,-20.9546,0.1394,0.5437,True
st6,0.2363,0.5483,0.5483,0.2508,0.5727,True
st20,0.2914,0.5682,0.5682,0.934,0.6524,True
st58,0.2076,0.6789,0.6789,0.3405,0.6858,True
st15,0.691,-0.2051,0.691,0.4098,0.0066,False
st45,0.1973,0.3914,0.3914,0.3347,0.4033,True
st46,-0.8019,-2.3831,-2.3831,0.224,0.6484,True
st43,0.2338,0.7641,0.7641,0.2624,0.6416,True
st32,0.5575,0.5381,0.5381,0.4289,0.612,True
st4,0.335,0.5975,0.5975,0.1804,0.5655,True
st27,0.7114,-0.0438,0.7114,1.5349,0.1306,False
st61,0.5956,0.4515,0.5956,1.91,0.6327,False
st11,0.1392,0.5729,0.5729,0.3147,0.5706,True
st24,0.5177,0.6461,0.6461,1.2362,0.5904,True
st16,0.6712,0.5866,0.5866,0.1232,0.5384,True
st34,0.3809,0.5492,0.5492,0.3508,0.5924,True
st25,0.2033,-0.2401,0.2033,1.5185,-0.115,False
st1,0.0031,-0.4926,0.0031,0.5218,0.1255,False
st44,0.2311,0.3608,0.2311,0.2839,0.1532,False
st3,0.5163,0.2594,0.2594,0.2341,0.3153,True
st22,0.5808,0.4184,0.4184,1.3441,0.3301,True
st36,0.228,-0.0089,0.228,2.6422,0.3484,False
st56,0.8404,0.0721,0.8404,7.2155,0.1597,False
