st_id,clim,operator,hybrid,train_kge,trusted
st30,0.4465,0.7948,0.7948,0.8394,True
st14,0.6573,0.9627,0.9627,0.8986,True
st7,0.5823,0.6906,0.6906,0.6793,True
st5,0.67,0.3607,0.3607,0.4306,True
st28,0.4761,0.7374,0.7374,0.694,True
st23,0.8059,-0.5525,0.8059,-0.5092,False
st41,0.7029,0.9244,0.9244,0.9539,True
st40,0.6752,0.866,0.866,0.847,True
st42,0.7391,0.8287,0.8287,0.8116,True
st26,0.6849,0.9124,0.9124,0.9131,True
st55,0.6637,0.8265,0.8265,0.82,True
st49,-1.6775,0.3311,0.3311,0.8348,True
st51,0.4486,-0.3622,0.4486,-0.4546,False
st59,0.5731,0.7576,0.7576,0.7439,True
st19,0.5629,0.6336,0.6336,0.8106,True
st10,0.2715,0.6761,0.6761,0.5976,True
st18,0.489,0.8439,0.8439,0.9178,True
st33,0.1032,0.6251,0.6251,0.7521,True
st9,0.3649,0.6368,0.6368,0.7119,True
st17,0.4862,0.277,0.4862,0.2309,False
st39,-0.9711,0.6483,0.6483,0.7499,True
st48,0.1241,0.8544,0.8544,0.876,True
st29,0.4137,0.5647,0.5647,0.6549,True
st57,0.5454,0.8209,0.8209,0.8776,True
st12,0.1756,0.6617,0.6617,0.5785,True
st47,0.0915,0.4852,0.4852,0.3846,True
st35,0.499,-0.1904,0.499,-0.4376,False
st13,0.4067,0.6443,0.6443,0.6769,True
st37,0.61,0.6994,0.6994,0.6064,True
st52,0.5389,-0.2058,0.5389,-0.0683,False
st8,0.3523,0.0282,0.3523,-0.4013,False
st50,0.0153,0.8298,0.8298,0.7604,True
st38,0.2658,-1.0087,0.2658,-1.1303,False
st60,0.3332,0.8261,0.8261,0.8017,True
st31,-0.407,0.1333,0.1333,0.8183,True
st21,0.53,0.5506,0.5506,0.6556,True
st54,0.2423,0.2071,0.2423,0.2958,False
st53,0.4873,0.1147,0.4873,0.2279,False
st2,-32.9044,-21.6273,-21.6273,0.4962,True
st6,0.2363,0.5898,0.5898,0.6345,True
st20,0.2914,0.0956,0.2914,-0.1124,False
st58,0.2076,0.6975,0.6975,0.6988,True
st15,0.691,-0.0204,0.691,0.1667,False
st45,0.1973,0.4154,0.4154,0.4243,True
st46,-0.8019,-2.74,-2.74,0.66,True
st43,0.2338,0.491,0.491,0.4841,True
st32,0.5575,0.4587,0.4587,0.5316,True
st4,0.335,0.4433,0.4433,0.3226,True
st27,0.7114,-0.4531,0.7114,-0.2269,False
st61,0.5956,0.2481,0.2481,0.3303,True
st11,0.1392,0.5196,0.5196,0.6261,True
st24,0.5177,0.582,0.5177,0.2835,False
st16,0.6712,0.6679,0.6679,0.563,True
st34,0.3809,0.2828,0.2828,0.4077,True
st25,0.2033,0.2042,0.2033,0.2345,False
st1,0.0031,-0.2268,-0.2268,0.3517,True
st44,0.2311,0.436,0.2311,0.1472,False
st3,0.5163,0.1932,0.5163,0.2096,False
st22,0.5808,0.3579,0.3579,0.3503,True
st36,0.228,-2.0639,0.228,-2.133,False
st56,0.8404,-2.5252,0.8404,-2.2211,False
