st_id,kge,nse,rmse,kge_r,kge_alpha,kge_beta
st30,0.7364,-0.5537,1.5235,0.9841,0.7777,0.8592
st14,0.6127,-40.4023,11.4176,0.9168,1.2077,0.6838
st7,0.7109,-2.8449,2.8169,0.9714,1.2735,1.0891
st5,0.5459,-4.5351,4.3292,0.5866,0.8512,0.8854
st28,0.6027,-3.2886,2.5621,0.9787,0.7221,1.2831
st23,0.4366,-16.6938,19.8852,0.7114,1.3624,0.6793
st41,0.8363,0.5078,3.8158,0.9545,1.04,1.1521
st40,0.816,0.7203,2.8206,0.9116,0.8637,1.0863
st42,0.9517,0.938,1.4271,0.9817,1.027,0.9643
st26,0.8756,0.0889,1.8173,0.8865,0.9728,0.9569
st55,0.8039,0.5291,2.946,0.9322,1.1043,1.1516
st49,-2.8224,-1.3406,2.1498,0.9194,0.7927,4.8159
st51,-0.3722,-54.4786,5.5964,0.6219,2.3023,0.7904
st59,0.8023,0.7023,1.2332,0.9451,1.1761,0.9288
st19,0.3987,-2.9104,3.5026,0.8912,0.7056,0.4872
st10,0.6819,-7.3748,1.8624,0.7176,1.0913,1.1145
st18,0.6992,-0.5684,0.6869,0.8484,0.7444,1.0466
st33,0.6458,0.3347,1.8136,0.9219,0.6741,1.1148
st9,0.862,-0.4968,0.7216,0.8988,0.9102,0.9732
st17,0.1676,-1.0843,1.7464,0.5258,0.3241,1.1057
st39,0.3815,0.5615,1.1454,0.8672,0.7938,1.5677
st48,0.4046,-1.3037,1.8721,0.5644,1.3468,1.211
st29,0.4916,0.6301,0.6008,0.9319,0.4964,0.9833
st57,0.8123,-5.7546,2.4513,0.8697,0.8925,1.0818
st12,0.4925,-0.1689,0.5715,0.5444,1.2237,0.9975
st47,0.1886,-17.3241,3.4738,0.5326,0.5719,1.5067
st35,-0.0662,-17.3502,7.8435,0.5765,1.403,1.8916
st13,0.6935,0.379,0.555,0.6938,0.986,0.9958
st37,0.4392,-1.1361,4.8476,0.648,0.6433,0.7484
st52,-0.0007,-61.67,8.4131,0.6057,0.3925,0.3094
st8,0.2798,-0.5323,0.9594,0.7422,1.6724,1.0117
st50,0.7484,0.2835,0.8594,0.7968,0.8885,0.902
st38,-0.1305,-21.588,11.8063,0.5327,1.1325,-0.0209
st60,0.1641,-18.6565,10.091,0.7368,1.0907,1.7882
st31,-0.2392,-3.2516,2.725,0.6978,0.8433,2.1915
st21,0.1755,-0.8242,4.5069,0.4406,0.8367,0.4167
st54,0.6578,-4.2851,1.625,0.7925,0.7436,1.0911
st53,0.2141,-114.0009,5.5773,0.8424,1.7274,1.2525
st2,-116.3408,-8.3207,2.0408,0.8679,0.6027,-116.34
st6,0.5684,0.4039,1.0868,0.8097,0.7679,0.6898
st20,-15.0586,-348.0832,23.8048,0.1564,16.9458,-0.702
st58,0.5233,-5.2019,3.7965,0.8977,0.7698,1.4047
st15,0.3277,-67.8272,17.6941,0.7344,1.3909,1.4782
st45,0.0416,-16.3794,6.0909,0.6185,0.4541,1.6892
st46,-2.3252,-0.3639,1.6186,0.522,0.4648,-2.2469
st43,-1.4982,-12.5279,1.7565,0.0424,3.2925,0.7382
st32,0.4868,-0.119,2.9363,0.823,0.6502,1.3311
st4,0.3668,-0.8614,0.7476,0.4462,1.2968,1.0785
st27,-0.1422,-23.963,11.4198,0.0483,1.5652,1.282
st61,0.3889,-1.6095,8.2329,0.6554,0.9306,1.4998
st11,-0.5003,-22.9097,7.459,0.5838,1.8307,-0.1779
st24,-2.5269,-41.227,27.064,0.361,1.0031,4.4685
st16,-0.1195,-24.0792,2.6334,0.542,2.0198,1.0583
st34,0.4473,-0.3365,0.3729,0.5745,1.3525,0.9871
st25,-0.1876,-70.6445,6.4405,0.4058,1.8953,1.5058
st1,-3.6261,-4.4443,2.8625,0.3651,0.5755,-3.5626
st44,-0.0937,-2.1547,1.7886,-0.0658,0.7617,0.9404
st3,0.1821,-20.6231,2.0349,0.4928,1.0126,0.3585
st22,0.7199,0.3456,1.407,0.7229,1.0404,1.0072
st36,-1.3368,-9.2841,3.7846,0.184,3.1871,0.8921
st56,0.0763,-13.3029,15.4314,0.6922,1.8387,1.2344
