st_id,kge,nse,rmse,kge_r,kge_alpha,kge_beta
st30,0.2316,0.3699,0.9702,0.9382,0.2342,1.014
st14,0.8572,-0.0675,1.8333,0.8642,1.0003,1.044
st7,0.3762,0.5524,0.9612,0.9741,0.3768,1.0092
st5,0.5888,0.6197,1.1348,0.9493,0.5925,1.0205
st28,0.2365,-3.7343,2.692,0.4903,0.503,1.2761
st23,0.684,-0.7801,6.3072,0.8368,0.7467,0.905
st41,0.4302,-4.3635,12.596,0.9436,1.1294,1.552
st40,0.8276,0.8816,1.8355,0.9782,0.8408,0.9377
st42,0.9286,0.9356,1.4544,0.9851,0.9444,0.9578
st26,0.7897,0.5568,1.2675,0.8741,0.8332,0.9765
st55,0.6964,0.8256,1.7928,0.9834,1.2979,0.9438
st49,-2.3503,-0.9572,1.9658,0.8725,0.6053,-2.3245
st51,0.8364,-0.3162,0.862,0.8714,1.0968,1.0294
st59,0.5239,-5.0866,5.5764,0.9687,1.0625,1.4709
st19,-2.4755,-28.0055,9.5394,0.672,4.2976,-0.0474
st10,0.4757,-2.0695,1.1275,0.6376,0.6267,1.0647
st18,0.5604,-25.6105,2.8294,0.8353,0.6516,0.7885
st33,0.3458,-9.8267,7.3161,0.9143,0.6643,1.5549
st9,0.6965,-49.1457,4.1769,0.7529,1.0604,0.8345
st17,0.1251,-44.3974,8.1504,0.8649,0.3943,1.6168
st39,-0.9196,-1.4724,2.7198,0.7989,0.9412,-0.9081
st48,0.7139,-0.7176,1.6165,0.8744,1.0451,1.2531
st29,0.4198,-0.2509,1.1048,0.7816,0.4665,1.0661
st57,0.417,0.0332,0.9274,0.4937,0.7113,0.987
st12,0.4844,-11.1078,1.8393,0.7367,0.5774,0.866
st47,0.1718,-8.7825,2.5381,0.6905,0.3239,1.3648
st35,0.5745,-0.5195,2.257,0.6325,1.1185,0.8213
st13,0.3375,-11.5087,2.491,0.3669,0.8381,0.8911
st37,0.5558,0.4883,2.3727,0.772,0.6234,1.059
st52,0.3138,-27.8894,5.7121,0.8141,0.5339,0.532
st8,0.1017,-1.5071,1.2271,0.7739,1.8691,1.0238
st50,0.1197,-12.5107,3.7319,0.7748,1.6137,0.4104
st38,0.1845,-9.7056,8.1279,0.7586,0.6698,0.2945
st60,0.4985,-2.0878,3.9995,0.8724,0.6198,1.3012
st31,-1.7461,-18.391,5.8196,0.7063,0.4918,3.6826
st21,-0.0735,-1.6264,5.4078,0.6162,0.536,1.8888
st54,0.3295,-187.4495,9.7034,0.7786,1.289,1.5631
st53,-0.3451,-187.1618,7.1341,0.8398,2.2961,1.3224
st2,-408.9133,-109.9526,7.0413,0.5977,1.256,-408.913
st6,-3.6759,-55.4313,10.5743,0.9088,0.4701,-3.6449
st20,-0.25,-11.6376,4.5293,0.4396,1.9084,1.6505
st58,0.7448,0.3059,1.27,0.8829,0.8034,1.113
st15,-0.1904,-93.5629,20.7401,0.8339,2.0379,1.5589
st45,-0.0734,-19.2977,6.5825,0.8317,0.2476,1.7468
st46,-1.3908,0.0941,1.3191,0.7062,0.4106,-1.2983
st43,-1.1938,-101.9952,4.8466,-0.0097,1.5694,2.8625
st32,0.4582,0.0052,2.7685,0.4711,0.9028,0.9341
st4,0.5794,-1.4802,0.863,0.6326,1.1079,1.1741
st27,0.1777,-75.0165,19.9279,0.8483,1.6143,1.5251
st61,-0.2857,-10.4895,17.2754,0.4724,0.8326,-0.1605
st11,0.6749,-0.0325,1.55,0.9188,0.7901,1.2345
st24,-0.7102,-0.7105,5.447,-0.5132,0.272,1.324
st16,-7.3498,-819.4066,15.062,0.5343,9.33,1.3372
st34,-1.2537,-412.9533,6.5627,0.7051,2.9711,2.0522
st25,-14.3091,-466.7675,16.4568,0.198,16.2626,1.8824
st1,-6.2007,-11.1701,4.2798,0.1537,0.4921,-6.1327
st44,-1.0611,-7.6585,2.9632,0.1272,2.8671,1.0201
st3,0.2492,-2.0491,0.7641,0.4331,0.5552,1.2107
st22,-0.2563,-1365.0058,64.2846,0.2918,0.6075,0.0393
st36,-0.4616,-1.0658,1.6962,-0.226,0.2267,0.8118
st56,-1.2183,-222.8202,61.044,-0.8274,0.2246,0.01
