st_id,kge,nse,rmse,kge_r,kge_alpha,kge_beta
st30,0.4103,0.2134,1.084,0.9758,0.4156,1.0755
st14,0.6585,0.4079,1.3654,0.8492,0.6947,1.0265
st7,0.5026,-0.1511,1.5413,0.8379,0.5315,1.0404
st5,0.5083,0.5311,1.2601,0.8564,0.53,1.0162
st28,0.4245,-0.0649,1.2767,0.9691,0.4375,1.1176
st23,0.7115,0.7057,2.5647,0.8495,0.7539,0.9935
st41,0.9455,0.8954,1.7594,0.9567,0.9959,1.0328
st40,0.8007,0.8381,2.1463,0.9763,0.8184,0.9213
st42,0.9537,0.9295,1.5215,0.9757,0.9814,1.0348
st26,0.6528,0.6709,1.0922,0.8434,0.6902,1.0068
st55,0.6828,0.7763,2.0304,0.9072,0.6969,0.9863
st49,-0.8903,0.092,1.339,0.8708,0.4436,2.8019
st51,0.7979,0.2145,0.6659,0.8069,1.0571,1.0178
st59,0.8655,0.8873,0.7587,0.9466,0.8771,0.988
st19,0.7561,0.5955,1.1265,0.7848,0.8884,1.0264
st10,0.5047,-6.3877,1.7492,0.7255,0.6021,1.1081
st18,0.7926,-0.157,0.59,0.8675,0.8453,0.9607
st33,0.6487,0.5825,1.4366,0.9077,0.6691,0.9268
st9,0.7886,0.76,0.289,0.8729,0.831,1.0003
st17,0.3021,-1.8093,2.0275,0.6939,0.3878,1.1364
st39,0.6721,0.6501,1.0232,0.8179,0.7937,0.8216
st48,0.7839,0.7474,0.6199,0.8666,0.8303,1.0101
st29,0.4386,-0.4792,1.2015,0.8945,0.4543,1.0789
st57,0.668,-0.3051,1.0775,0.8113,0.7287,1.0314
st12,0.5315,0.1183,0.4963,0.7291,0.6186,0.9751
st47,0.2566,0.2749,0.691,0.8326,0.2768,1.0399
st35,0.5838,0.265,1.5697,0.7158,0.7156,0.8924
st13,0.5466,-0.2925,0.8007,0.6561,0.7058,1.0274
st37,0.5696,0.5194,2.2994,0.7831,0.6321,0.9462
st52,0.4011,0.5006,0.751,0.7895,0.4393,1.0007
st8,0.7784,0.5461,0.5221,0.7932,1.0794,1.0008
st50,0.5049,-0.6546,1.306,0.7779,0.5983,0.8145
st38,0.4418,-0.4902,3.0325,0.6666,0.6059,0.7876
st60,0.6313,0.1067,2.1512,0.8768,0.6832,1.1426
st31,0.039,-0.9748,1.8572,0.7493,0.4435,1.7423
st21,0.4051,0.1806,3.0205,0.7174,0.618,0.6421
st54,0.6482,-0.2315,0.7844,0.7609,0.7446,1.037
st53,0.4476,-0.1669,0.5618,0.7705,1.5023,1.0112
st2,-22.7676,-0.1989,0.7319,0.4279,0.3133,24.7508
st6,-0.2324,-1.1345,2.0565,0.4486,0.1415,0.3088
st20,0.56,-0.8515,1.7336,0.6551,0.857,1.2329
st58,0.7197,0.2575,1.3136,0.9046,0.7662,1.1217
st15,0.7904,0.491,1.5216,0.8137,0.9069,1.0234
st45,0.0179,-0.6819,1.8948,0.4269,0.2171,1.1526
st46,-6.6506,-3.1395,2.8198,0.8093,0.2478,8.6112
st43,0.0428,-0.8443,0.6485,0.305,0.367,1.1804
st32,0.3956,0.4288,2.098,0.6922,0.4806,1.0283
st4,0.1611,0.0417,0.5364,0.4997,0.329,0.9428
st27,0.7413,-1.7662,3.8015,0.8103,0.8515,1.0943
st61,0.3866,0.2259,4.484,0.5786,0.5701,0.8824
st11,0.2488,-1.7312,2.521,0.6144,0.4689,1.3654
st24,0.1684,0.1821,3.7666,0.6262,0.2744,1.1592
st16,0.0005,-1.6991,0.8639,0.5288,1.8815,1.0048
st34,-0.0462,-1.3888,0.4985,0.6446,1.984,1.0054
st25,0.1971,-3.6251,1.6364,0.4101,0.4685,1.1189
st1,-4.3918,-5.9996,3.2458,0.2568,0.1565,-4.2732
st44,0.2708,-0.9955,1.4226,0.3782,0.6225,0.949
st3,-0.2336,-1.5705,0.7016,-0.0511,0.3762,0.8333
st22,0.547,-0.4777,2.1143,0.7521,0.6217,0.9737
st36,-0.2885,-0.7114,1.5439,-0.075,0.3055,0.8509
st56,0.8114,0.6907,2.2693,0.8502,0.8861,0.9883
