st_id,kge,nse,rmse,kge_r,kge_alpha,kge_beta
st30,0.7087,0.5391,0.8298,0.9158,0.7275,1.0595
st14,0.8519,0.5845,1.1438,0.9404,0.8671,1.0267
st7,0.6896,0.7366,0.7372,0.9014,0.7058,1.009
st5,0.8859,0.8561,0.6981,0.9316,0.9088,1.0056
st28,0.7201,0.6121,0.7705,0.8608,0.762,1.0478
st23,0.7979,0.7605,2.3137,0.9357,0.81,0.9753
st41,0.9413,0.9413,1.3174,0.9785,1.0483,1.0256
st40,0.8692,0.913,1.5732,0.983,0.8823,0.9455
st42,0.9322,0.9114,1.7055,0.9809,1.0412,1.0504
st26,0.8142,0.8233,0.8002,0.9313,0.8276,1.0094
st55,0.7987,0.8557,1.6309,0.9655,1.1938,1.0424
st49,0.1419,0.7573,0.6922,0.9323,0.8552,1.8431
st51,0.7343,0.2981,0.6295,0.8397,0.7888,1.0185
st59,0.9324,0.8546,0.8618,0.9594,1.0256,1.0476
st19,0.8939,0.9044,0.5476,0.966,1.0962,0.9708
st10,0.6975,-1.181,0.9504,0.7918,0.7876,1.0553
st18,0.8778,0.5835,0.354,0.9037,0.9275,1.0199
st33,0.7192,0.6565,1.3031,0.9299,0.7374,0.9295
st9,0.7427,0.6868,0.3301,0.9282,0.753,1.0089
st17,0.6879,-0.1267,1.284,0.7759,0.7974,1.0785
st39,0.7655,0.7813,0.8089,0.8952,0.9048,0.813
st48,0.8751,0.7542,0.6115,0.8931,1.0589,1.0266
st29,0.6267,0.7519,0.492,0.9085,0.6381,1.0013
st57,0.6921,-0.2617,1.0594,0.842,0.7376,1.0314
st12,0.6144,-2.602,1.0032,0.7437,0.7205,1.0698
st47,0.4214,-0.8102,1.0918,0.7303,0.5068,1.1373
st35,0.8283,0.8898,0.6079,0.9547,0.8354,1.0187
st13,0.6526,0.0956,0.6698,0.7703,0.7403,1.0227
st37,0.7094,0.7092,1.7886,0.8594,0.7471,1.0261
st52,0.643,0.6703,0.6102,0.8641,0.6704,1.0173
st8,0.7042,0.4978,0.5492,0.8289,0.759,1.0108
st50,0.7365,0.426,0.7692,0.8813,0.7861,0.9022
st38,0.6015,0.3654,1.9789,0.7915,0.6786,0.8903
st60,0.8401,0.7599,1.1154,0.9109,0.8759,1.0473
st31,0.0412,-1.725,2.1816,0.7827,1.017,1.9337
st21,0.6514,0.6398,2.0027,0.8627,0.7405,0.8119
st54,0.786,0.3493,0.5702,0.869,0.8328,1.0261
st53,0.8285,0.6593,0.3036,0.8351,0.953,0.9963
st2,-18.1265,0.5529,0.447,0.8901,0.8777,20.1258
st6,0.6292,0.719,0.7462,0.8924,0.6574,0.9076
st20,0.5385,-0.9312,1.7706,0.6981,0.7551,1.2488
st58,0.7828,-0.0319,1.5486,0.9293,0.8665,1.1561
st15,0.8516,0.8048,0.9424,0.9489,0.8617,1.0172
st45,0.4503,-0.5515,1.8199,0.6871,0.5811,1.1695
st46,-0.2431,0.7316,0.718,0.9088,0.8521,-0.2309
st43,0.7729,0.3944,0.3716,0.8333,0.8841,1.1018
st32,0.6152,0.4916,1.9792,0.8352,0.6928,1.163
st4,0.7041,0.1577,0.5029,0.876,0.7524,1.1043
st27,0.8633,0.0421,2.237,0.9457,0.8877,1.0558
st61,0.4772,0.5147,3.5503,0.7499,0.5415,0.9769
st11,0.5866,-1.6063,2.4627,0.857,0.9621,1.386
st24,0.4083,0.3774,3.2863,0.6613,0.5278,1.1113
st16,0.7429,0.7038,0.2862,0.8983,0.7639,1.0036
st34,0.6056,0.5694,0.2117,0.7887,0.6672,0.9899
st25,0.1701,-2.0169,1.3216,0.5371,0.3173,1.0918
st1,-0.216,0.0457,1.1985,0.5246,0.5508,-0.0252
st44,0.3603,-0.765,1.3379,0.4965,0.6084,0.9509
st3,0.324,0.0058,0.4363,0.5477,0.5035,1.0764
st22,0.5641,-0.8119,2.3413,0.7421,0.6499,0.9697
st36,0.1613,-0.4476,1.4199,0.3751,0.4611,0.8498
st56,0.8141,0.7496,2.0417,0.9289,0.8296,0.9787
