st_id,kge,nse,rmse,kge_r,kge_alpha,kge_beta
st30,0.7162,0.6649,0.7075,0.9297,0.7289,1.0462
st14,0.9189,0.8238,0.7449,0.9567,0.933,1.0149
st7,0.6705,0.7929,0.6538,0.9236,0.6795,1.0011
st5,0.9249,0.9011,0.5788,0.9493,0.9445,0.9993
st28,0.7912,0.7799,0.5804,0.9069,0.8149,1.0256
st23,0.8331,0.6889,2.6367,0.9472,0.8456,0.9652
st41,0.938,0.9384,1.3502,0.9808,1.0487,1.0333
st40,0.865,0.9512,1.1779,0.9873,0.868,0.9747
st42,0.9312,0.9222,1.598,0.98,1.0504,1.0423
st26,0.8832,0.892,0.6256,0.9469,0.896,1.0023
st55,0.9518,0.9405,1.0473,0.9791,1.0265,1.0344
st49,-0.0258,0.6883,0.7844,0.9233,0.8058,2.0043
st51,0.7714,0.575,0.4898,0.878,0.8071,1.0127
st59,0.9332,0.8483,0.8804,0.9572,0.9873,1.0497
st19,0.8673,0.8999,0.5603,0.9732,1.1229,0.9579
st10,0.7653,-0.6446,0.8253,0.8543,0.8224,1.0482
st18,0.8652,0.483,0.3944,0.9033,0.9092,1.0238
st33,0.7359,0.702,1.2138,0.9315,0.7527,0.9377
st9,0.7779,0.784,0.2742,0.9426,0.7855,1.0066
st17,0.7724,0.3674,0.9621,0.8244,0.8646,1.0513
st39,0.7849,0.8323,0.7083,0.9215,0.8874,0.8343
st48,0.8851,0.7734,0.5872,0.8889,0.9783,1.0197
st29,0.6256,0.7329,0.5105,0.8941,0.6409,1.0037
st57,0.7922,0.2612,0.8107,0.9028,0.8179,1.0237
st12,0.7583,-0.8638,0.7216,0.8676,0.804,1.0499
st47,0.4918,-0.1535,0.8716,0.7891,0.5491,1.1024
st35,0.8249,0.7983,0.8224,0.9131,0.8529,1.0386
st13,0.7019,0.4398,0.5272,0.8248,0.7592,1.0157
st37,0.7593,0.6135,2.062,0.8195,0.8483,1.0482
st52,0.6171,0.5376,0.7227,0.8673,0.6426,1.0355
st8,0.7634,0.6038,0.4878,0.8462,0.8205,1.0084
st50,0.7538,0.4639,0.7434,0.8821,0.8049,0.9071
st38,0.6451,0.4323,1.8716,0.7936,0.7279,0.9033
st60,0.8457,0.7412,1.1578,0.9227,0.8804,1.0594
st31,0.1464,-1.2299,1.9735,0.797,1.0959,1.8235
st21,0.6775,0.702,1.8217,0.8714,0.7305,0.8782
st54,0.804,0.4332,0.5322,0.8678,0.8571,1.0232
st53,0.8635,0.6378,0.313,0.8643,1.0125,0.993
st2,-15.8127,0.6097,0.4176,0.8914,0.8887,17.812
st6,0.6419,0.7158,0.7505,0.9034,0.6863,0.8568
st20,0.5092,-1.1726,1.878,0.6766,0.7447,1.2667
st58,0.7908,-0.2556,1.7082,0.9233,0.9128,1.174
st15,0.9139,0.8866,0.7183,0.9535,0.928,1.0086
st45,0.5115,-0.2894,1.6591,0.7137,0.6337,1.15
st46,-0.5874,0.6926,0.7685,0.9307,0.77,-0.5691
st43,0.6563,0.4547,0.3527,0.8039,0.7294,1.0805
st32,0.6344,0.5103,1.9424,0.8483,0.7112,1.165
st4,0.7093,0.1716,0.4988,0.8723,0.76,1.1028
st27,0.9195,0.5013,1.614,0.956,0.945,1.0389
st61,0.4845,0.5284,3.4998,0.7602,0.5441,1.0186
st11,0.5374,-1.9925,2.6388,0.8693,1.1632,1.4126
st24,0.3962,0.4144,3.1872,0.6871,0.4888,1.0736
st16,0.7385,0.7105,0.2829,0.8955,0.7603,1.0033
st34,0.6362,0.5339,0.2202,0.7884,0.7044,0.9852
st25,0.2471,-1.4876,1.2001,0.6169,0.3571,1.082
st1,0.0641,0.2103,1.0902,0.5675,0.58,0.2842
st44,0.3616,-0.7384,1.3278,0.5302,0.5705,0.9504
st3,0.2897,-0.0457,0.4475,0.5248,0.4781,1.0798
st22,0.5872,-0.7641,2.3102,0.7617,0.6643,0.97
st36,0.2931,-0.033,1.1995,0.5028,0.5087,0.8946
st56,0.8418,0.7031,2.2234,0.9466,0.8538,0.9715
