st_id,kge,nse,rmse,kge_r,kge_alpha,kge_beta
st30,0.5,0.2349,1.0691,0.9443,0.5095,1.0792
st14,0.6852,0.3649,1.4141,0.8789,0.711,1.0304
st7,0.4454,0.4942,1.0217,0.8935,0.456,1.0156
st5,0.7739,0.697,1.013,0.8605,0.8224,1.0107
st28,0.4923,0.3357,1.0084,0.7997,0.5383,1.0672
st23,0.8115,0.6568,2.7693,0.8386,0.9041,0.9839
st41,0.9511,0.9224,1.515,0.9736,1.018,1.0371
st40,0.8744,0.9529,1.158,0.9832,0.8762,0.9872
st42,0.9455,0.9546,1.2206,0.9829,1.0477,1.0199
st26,0.6809,0.6994,1.0439,0.8718,0.7079,1.0095
st55,0.8644,0.9478,0.9811,0.9869,1.1337,1.0187
st49,0.2115,0.7593,0.6894,0.9244,0.8391,1.7682
st51,0.5912,-0.1072,0.7906,0.8668,0.6144,1.0259
st59,0.9078,0.8691,0.8177,0.9545,0.93,1.039
st19,0.8499,0.838,0.7128,0.9371,1.1361,0.9948
st10,0.3891,-2.6354,1.2271,0.6822,0.4833,1.072
st18,0.8522,0.7515,0.2734,0.8918,1.1006,1.0004
st33,0.6652,0.5972,1.4111,0.9304,0.6819,0.9225
st9,0.5734,0.4905,0.421,0.8663,0.595,1.0101
st17,0.4225,-0.4492,1.4562,0.7005,0.5141,1.0875
st39,0.5522,0.6708,0.9925,0.8735,0.8384,0.602
st48,0.8364,0.7133,0.6605,0.8894,1.1156,1.0342
st29,0.5637,0.703,0.5383,0.9002,0.5753,0.9968
st57,0.6681,-0.1449,1.0092,0.8531,0.7039,1.0296
st12,0.3884,-4.0875,1.1923,0.6881,0.4805,1.0835
st47,0.2496,-2.094,1.4274,0.5222,0.4519,1.1856
st35,0.7735,0.7502,0.9151,0.8699,0.8151,0.9871
st13,0.486,-0.3231,0.8102,0.6439,0.6304,1.0277
st37,0.6144,0.7027,1.8084,0.8708,0.6367,0.9947
st52,0.6675,0.6833,0.598,0.8498,0.7035,1.0116
st8,0.6596,0.4623,0.5683,0.8053,0.721,1.0106
st50,0.7979,0.6277,0.6195,0.8557,1.139,0.974
st38,0.4956,0.1186,2.3322,0.7625,0.579,0.8558
st60,0.6432,0.6998,1.2471,0.8643,0.6705,1.0178
st31,0.0243,-1.71,2.1756,0.7243,0.8347,1.9213
st21,0.5471,0.5569,2.2212,0.8326,0.6257,0.8079
st54,0.6587,-0.0736,0.7324,0.8712,0.6861,1.0367
st53,0.8326,0.658,0.3042,0.8553,1.0842,0.9966
st2,-16.4516,0.587,0.4296,0.8866,0.8857,18.4508
st6,0.6191,0.641,0.8434,0.918,0.7264,0.7481
st20,0.5264,-1.0296,1.8151,0.6773,0.7647,1.2545
st58,0.7333,-0.132,1.622,0.9046,0.8095,1.1604
st15,0.7374,0.3409,1.7315,0.8234,0.8085,1.0337
st45,0.1178,-1.3599,2.2445,0.7083,0.1951,1.213
st46,-0.1956,0.6043,0.8718,0.924,0.5011,-0.0839
st43,0.3156,-0.0482,0.4889,0.5231,0.5207,1.1059
st32,0.5192,0.5337,1.8955,0.7773,0.5791,1.0668
st4,0.8292,0.5392,0.372,0.8771,0.9006,1.0648
st27,0.794,-1.4428,3.5723,0.8378,0.9092,1.0886
st61,0.4314,0.424,3.868,0.6954,0.5239,0.938
st11,0.5832,-1.6009,2.4601,0.8639,0.9272,1.3871
st24,0.3796,0.3143,3.4488,0.6517,0.5135,1.1638
st16,0.8051,0.6882,0.2936,0.8987,0.8336,1.0042
st34,0.7271,-0.0059,0.3235,0.7347,0.9482,0.9632
st25,0.1885,-2.4082,1.4047,0.5535,0.3298,1.0997
st1,-0.4399,-0.1154,1.2957,0.4106,0.3253,-0.1272
st44,0.2097,-0.832,1.363,0.3828,0.5088,0.9518
st3,0.3675,0.0408,0.4286,0.573,0.5395,1.0756
st22,0.5463,-0.5902,2.1933,0.7208,0.6434,0.9727
st36,-0.2369,-1.1562,1.7329,-0.0317,0.3472,0.8016
st56,0.8085,0.6872,2.2822,0.8498,0.8819,0.9878
